Title,Category Name,Experience,Sub Category Name,Currency,Budget,Location,Freelancer Preferred From,Type,Date Posted,Description,Duration,Client Registration Date,Client City,Client Country,Client Currency,Client Job Title
UI/UX designer (Robot Control Project),Design,Expert ($$$),Web Design,USD,150.0,remote,ALL,fixed_price,2023-01-27 07:59:40,We seek a UI/UX designer to revamp our current website. The project aims to design a website that facilitates control over the movement and other functions of robots.,,2023-01-27,Konya,Turkey,USD,
New SaaS website launch,"Marketing, Branding & Sales",Intermediate ($$),Sales & Calls,GBP,100.0,remote,ALL,fixed_price,2023-01-27 07:20:14,"Hi 

We are looking for support on outbound sales calls. We have a fix budget so please give the best quote in the avaliable budget. We would only consider working with UK companies. Please quote you company when apply. Thanks",,2022-06-23,Milton Keynes,United Kingdom,GBP,Marketing Manager
SaaS website launch,"Marketing, Branding & Sales",Intermediate ($$),Direct Marketing,GBP,100.0,remote,ALL,fixed_price,2023-01-27 07:20:02,"Hi 

We are looking for direct marketing support. We have a fix budget so please give the best quote in the avaliable budget. We would only consider working with UK companies. Please quote you company when apply. Thanks",,2022-06-23,Milton Keynes,United Kingdom,GBP,Marketing Manager
Video content required for SaaS company,Digital Marketing,Entry ($),Video Marketing,GBP,100.0,remote,ALL,fixed_price,2023-01-27 07:20:24,"Hi 

We are looking for video creatives. We have a fix budget so please give the best quote in the avaliable budget. We would only consider working with UK companies. Please quote you company when apply. Thanks",,2022-06-23,Milton Keynes,United Kingdom,GBP,Marketing Manager
New SaaS company launch,Digital Marketing,Expert ($$$),Affiliate Marketing,GBP,100.0,remote,ALL,fixed_price,2023-01-27 07:18:56,"Hi 

We are looking for affiliate marketing support. We have a fix budget so please give the best quote in the avaliable budget. We would only consider working with UK companies. Please quote you company when apply. Thanks",,2022-06-23,Milton Keynes,United Kingdom,GBP,Marketing Manager
Logo design,Design,Expert ($$$),Logo Design,GBP,88.0,remote,ALL,fixed_price,2023-01-27 07:20:55,"Hello friend,

I am looking for a logo-maker for my wife's business.

Her name is Noy and the name of the business is Noy's (sound like Noise)

This is a dance school for children that established in 2018

We are looking for a logo that expresses the combination of dance as a pleasant way of life but with professional aspects that dance requires.",,2023-01-27,North Bergen,United States,USD,
New SaaS platform launch new marketing support,Digital Marketing,Expert ($$$),Influencer Marketing,GBP,100.0,remote,ALL,fixed_price,2023-01-27 07:15:17,macaws.ai is an AI and automation SaaS platform. We are looking to work with UK agencies only. Please give us your best service for influencer marketing in our allocated budget! On your reply please quote you company name. Thanks,,2022-06-23,Milton Keynes,United Kingdom,GBP,Marketing Manager
jpg to vector,Design,Entry ($),Graphic Design,EUR,7.0,remote,ALL,fixed_price,2023-01-27 06:39:47,"Hello,

I´m looking for somebody who can create from a picutre the proper vector file.",,2016-12-14,Kristianstad,Sweden,USD,
Python Script to Scrape Website,Technology & Programming,Entry ($),Programming & Coding,USD,40.0,remote,ALL,fixed_price,2023-01-27 06:31:59,"Require a python script to scrape the website product information and images. Save product info in csv and images in individual product name folder.

Requirements
1) Create python script to scrape product information and images from https://www.merida-bikes.com/en-au (Australian site) and save in csv and product folders
2) Quality control data. E.g Remove duplicates, Confirm data correct, show data reference links


Data Scrape Headers
* Website Link
* Product  Link
* Product Category. E.g. Bike, E-bike
* Product Type. E.g E -Mountain, E-Road
* Product Title. E.g. eONE-SIXTY 10K
*Product Retail Price (AUD)
*Product Teaser Text(Short product description )
*Product Marketing Text (Long product description)
*Product Feature Text
*Product Specification Table.
*Product image/s saved and named as the product title

Deliverables Requirements
1) Python Code Run and confirmed scrape extracting. 
2) Quality control confirms information save in csv and correct
3) Images saved in product folders and named.
",,2014-07-21,Sydney,Australia,USD,
Write blog posts (3 per weeks) about solar energy,Writing & Translation,Expert ($$$),Content Writing,USD,109.0,remote,ALL,fixed_price,2023-01-27 05:55:38,"Hello,

We are looking for someone who can write us 3 blog posts about solar energy, components, equipment, simple installations guides, market insights, etc. per week (Monday/Wednesday/Saturday) and publish them on our online shop.

The blog posts must have unique content (we do a plagiarism check before publishing) but it's allowed to use chatgpt if needed. The text should be easy to read and at least 300-500 words and SEO optimized.",,2014-06-16,Regensburg,Germany,USD,Founder and Webdeveloper since over 20 years
